customerID,gender,tenure,Churn,Contract,InternetService,Probabilité de Résilation
4195-NZGTA,Female,1,No,Month-to-month,DSL,0.989150642691706
5207-PLSTK,Male,1,No,Month-to-month,DSL,0.989150642691706
9244-ZVAPM,Male,1,No,Month-to-month,DSL,0.989150642691706
1816-FLZDK,Male,1,No,Month-to-month,DSL,0.989150642691706
6650-VJONK,Male,1,No,Month-to-month,DSL,0.989150642691706
2043-WVTQJ,Male,1,No,Month-to-month,DSL,0.989150642691706
0374-AACSZ,Female,1,No,Month-to-month,DSL,0.989150642691706
6888-SBYAI,Male,1,No,Month-to-month,DSL,0.989150642691706
1791-PQHBB,Female,2,No,Month-to-month,DSL,0.9887347341898767
3995-WFCSM,Female,2,No,Month-to-month,DSL,0.9887347341898767
8903-XEBGX,Male,2,No,Month-to-month,DSL,0.9887347341898767
2181-UAESM,Male,2,No,Month-to-month,DSL,0.9887347341898767
4537-DKTAL,Female,2,No,Month-to-month,DSL,0.9887347341898767
6844-DZKRF,Male,2,No,Month-to-month,DSL,0.9887347341898767
5122-CYFXA,Female,3,No,Month-to-month,DSL,0.9883030704362937
1230-QAJDW,Male,3,No,Month-to-month,DSL,0.9883030704362937
3594-KADLU,Male,3,No,Month-to-month,DSL,0.9883030704362937
3043-TYBNO,Male,3,No,Month-to-month,DSL,0.9883030704362937
1763-WQFUK,Male,3,No,Month-to-month,DSL,0.9883030704362937
8676-OOQEJ,Male,4,No,Month-to-month,DSL,0.9878550693137759
6257-RJOHI,Male,4,No,Month-to-month,DSL,0.9878550693137759
6994-KERXL,Male,4,No,Month-to-month,DSL,0.9878550693137759
4256-ZWTZI,Female,5,No,Month-to-month,DSL,0.9873901283450677
5404-GGUKR,Male,5,No,Month-to-month,DSL,0.9873901283450677
0856-NAOES,Male,6,No,Month-to-month,DSL,0.9869076240707553
6599-SFQVE,Female,6,No,Month-to-month,DSL,0.9869076240707553
2720-FVBQP,Female,6,No,Month-to-month,DSL,0.9869076240707553
9780-FKVVF,Male,6,No,Month-to-month,DSL,0.9869076240707553
0096-BXERS,Female,6,No,Month-to-month,DSL,0.9869076240707553
6218-KNUBD,Male,6,No,Month-to-month,DSL,0.9869076240707553
1329-VHWNP,Female,7,No,Month-to-month,DSL,0.9864069114154231
1848-LBZHY,Female,7,No,Month-to-month,DSL,0.9864069114154231
6135-OZQVA,Female,7,No,Month-to-month,DSL,0.9864069114154231
8242-JSVBO,Male,7,No,Month-to-month,DSL,0.9864069114154231
5215-LNLDJ,Female,7,No,Month-to-month,DSL,0.9864069114154231
7351-KYHQH,Female,7,No,Month-to-month,DSL,0.9864069114154231
5309-TAIKL,Female,7,No,Month-to-month,DSL,0.9864069114154231
6497-TILVL,Female,7,No,Month-to-month,DSL,0.9864069114154231
8160-HOWOX,Female,7,No,Month-to-month,DSL,0.9864069114154231
1767-TGTKO,Female,8,No,Month-to-month,DSL,0.9858873230424793
7797-EJMDP,Female,8,No,Month-to-month,DSL,0.9858873230424793
5780-INQIK,Female,8,No,Month-to-month,DSL,0.9858873230424793
1849-RJYIG,Female,8,No,Month-to-month,DSL,0.9858873230424793
5515-RUGKN,Male,8,No,Month-to-month,DSL,0.9858873230424793
4280-DLSHD,Male,8,No,Month-to-month,DSL,0.9858873230424793
3272-VUHPV,Female,8,No,Month-to-month,DSL,0.9858873230424793
9327-QSDED,Male,8,No,Month-to-month,DSL,0.9858873230424793
7421-ZLUPA,Female,8,No,Month-to-month,DSL,0.9858873230424793
4608-LCIMN,Male,8,No,Month-to-month,DSL,0.9858873230424793
3173-NVMPX,Female,9,No,Month-to-month,DSL,0.9853481686981422
5778-BVOFB,Female,9,No,Month-to-month,DSL,0.9853481686981422
4283-IVYCI,Male,9,No,Month-to-month,DSL,0.9853481686981422
9643-YBLUR,Male,9,No,Month-to-month,DSL,0.9853481686981422
8344-WFMFH,Male,9,No,Month-to-month,DSL,0.9853481686981422
5651-CPDND,Male,10,No,Month-to-month,DSL,0.9847887345451664
6143-JQKEA,Male,10,No,Month-to-month,DSL,0.9847887345451664
